date,spReturn,bondReturn,cashReturn,cpi
1871-01,0.01839339,0.00420000,0.00110833,12.4641
1871-02,0.02925926,0.00420278,0.00110903,12.8446
1871-03,0.03289949,0.00420556,0.00110972,13.0350
1871-04,0.02988748,0.00420833,0.00111042,12.5592
1871-05,-0.00377229,0.00421111,0.00111111,12.2738
1871-06,-0.01417704,0.00421389,0.00111181,12.0835
1871-07,0.01726568,0.00421667,0.00111250,12.0835
1871-08,0.01496173,0.00421944,0.00111319,11.8932
1871-09,-0.04717631,0.00422222,0.00111389,12.1786
1871-10,0.01561365,0.00422500,0.00111458,12.3689
1871-11,0.02622126,0.00422778,0.00111528,12.3689
1871-12,0.02988748,0.00423056,0.00111597,12.6544
1872-01,0.00862997,0.00318333,0.00111667,12.6544
1872-02,0.03734119,0.00319861,0.00112049,12.6544
1872-03,0.03224206,0.00321389,0.00112431,12.8446
1872-04,0.00439672,0.00322917,0.00112813,13.1301
1872-05,-0.00520109,0.00324444,0.00113194,13.1301
1872-06,-0.00129955,0.00325972,0.00113576,13.0350
1872-07,-0.00713562,0.00327500,0.00113958,12.8446
1872-08,-0.01311673,0.00329028,0.00114340,12.9398
1872-09,0.00892256,0.00330556,0.00114722,13.0350
1872-10,0.00089370,0.00332083,0.00115104,12.7495
1872-11,0.02923737,0.00333611,0.00115486,13.1301
1872-12,0.01282051,0.00335139,0.00115868,12.9398
1873-01,0.01276093,0.00529167,0.00116250,12.9398
1873-02,-0.00283172,0.00528403,0.00116059,13.2252
1873-03,-0.00868395,0.00527639,0.00115868,13.2252
1873-04,0.00710979,0.00526875,0.00115677,13.2252
1873-05,-0.00870462,0.00526111,0.00115486,12.9398
1873-06,0.00326305,0.00525347,0.00115295,12.5592
1873-07,0.00532361,0.00524583,0.00115104,12.5592
1873-08,-0.07109323,0.00523819,0.00114913,12.5592
1873-09,-0.08129085,0.00523056,0.00114722,12.5592
1873-10,-0.02933572,0.00522292,0.00114531,12.2738
1873-11,0.10081477,0.00521528,0.00114340,11.8932
1873-12,0.06052036,0.00520764,0.00114149,12.1786
1874-01,0.03594421,0.00689167,0.00113958,12.3689
1874-02,-0.00885417,0.00686389,0.00113264,12.3689
1874-03,-0.02167019,0.00683611,0.00112569,12.3689
1874-04,-0.02010870,0.00680833,0.00111875,12.1786
1874-05,0.00167411,0.00678056,0.00111181,12.0835
1874-06,0.00616592,0.00675278,0.00110486,11.7981
1874-07,0.00840807,0.00672500,0.00109792,11.8932
1874-08,0.02181208,0.00669722,0.00109097,11.7981
1874-09,0.00385463,0.00666944,0.00108403,11.7981
1874-10,0.01490066,0.00664167,0.00107708,11.6077
1874-11,-0.00054705,0.00661389,0.00107014,11.5127
1874-12,0.00605727,0.00658611,0.00106319,11.5127
1875-01,0.00380874,0.00702500,0.00105625,11.5127
1875-02,0.01922369,0.00699167,0.00104792,11.5127
1875-03,0.01892702,0.00695833,0.00103958,11.5127
1875-04,-0.03297491,0.00692500,0.00103125,11.6077
1875-05,-0.01421514,0.00689167,0.00102292,11.3223
1875-06,0.00827626,0.00685833,0.00101458,11.1321
1875-07,0.01048785,0.00682500,0.00100625,11.1321
1875-08,-0.00321240,0.00679167,0.00099792,11.2272
1875-09,-0.01015446,0.00675833,0.00098958,11.1321
1875-10,0.02218992,0.00672500,0.00098125,11.1321
1875-11,0.00576850,0.00669167,0.00097292,11.0369
1875-12,0.02631579,0.00665833,0.00096458,10.9417
1876-01,0.01905830,0.00464167,0.00095625,10.8466
1876-02,0.00331858,0.00463194,0.00095382,10.8466
1876-03,-0.03215078,0.00462222,0.00095139,10.8466
1876-04,-0.03110599,0.00461250,0.00094896,10.7515
1876-05,-0.00119617,0.00460278,0.00094653,10.3709
